entidad_federativa,CVE_MUN,municipio,sexo,EcAc_total,EcAc_ocupada,EcAc_desocupada,No_EcAc
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Total,3154,3087,67,2883
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Total,50,49,1,508
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Total,354,334,20,563
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Total,437,420,17,279
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Total,359,349,10,222
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Total,379,375,4,232
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Total,403,401,2,199
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Total,319,316,3,159
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Total,234,230,4,116
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Total,181,179,2,89
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Total,141,138,3,117
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Total,111,111,0,99
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Total,74,74,0,76
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Total,68,68,0,81
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Total,26,26,0,60
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Total,11,10,1,43
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Total,7,7,0,40
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Hombres,2457,2397,60,563
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Hombres,43,42,1,241
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Hombres,295,278,17,159
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Hombres,346,331,15,34
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Hombres,275,267,8,7
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Hombres,283,279,4,5
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Hombres,314,312,2,4
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Hombres,232,229,3,6
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Hombres,170,166,4,5
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Hombres,138,136,2,4
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Hombres,114,111,3,9
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Hombres,85,85,0,9
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Hombres,65,65,0,13
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Hombres,55,55,0,20
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Hombres,24,24,0,13
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Hombres,11,10,1,15
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Hombres,7,7,0,19
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Mujeres,697,690,7,2320
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Mujeres,7,7,0,267
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Mujeres,59,56,3,404
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Mujeres,91,89,2,245
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Mujeres,84,82,2,215
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Mujeres,96,96,0,227
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Mujeres,89,89,0,195
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Mujeres,87,87,0,153
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Mujeres,64,64,0,111
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Mujeres,43,43,0,85
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Mujeres,27,27,0,108
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Mujeres,26,26,0,90
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Mujeres,9,9,0,63
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Mujeres,13,13,0,61
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Mujeres,2,2,0,47
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Mujeres,0,0,0,28
30 Veracruz de Ignacio de la Llave,1,001 Acajete,Mujeres,0,0,0,21
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Total,972,910,62,1369
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Total,12,10,2,211
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Total,99,94,5,261
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Total,145,132,13,135
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Total,109,102,7,94
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Total,105,99,6,88
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Total,113,108,5,93
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Total,98,91,7,91
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Total,93,89,4,87
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Total,59,57,2,60
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Total,46,41,5,49
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Total,29,27,2,43
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Total,31,28,3,47
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Total,18,17,1,44
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Total,8,8,0,27
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Total,5,5,0,23
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Total,2,2,0,16
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Hombres,745,692,53,385
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Hombres,12,10,2,110
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Hombres,74,70,4,106
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Hombres,98,89,9,42
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Hombres,76,70,6,12
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Hombres,75,70,5,8
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Hombres,81,78,3,9
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Hombres,83,76,7,6
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Hombres,75,71,4,9
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Hombres,55,53,2,12
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Hombres,39,34,5,10
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Hombres,25,23,2,8
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Hombres,24,21,3,16
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Hombres,15,14,1,14
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Hombres,7,7,0,10
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Hombres,4,4,0,7
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Hombres,2,2,0,6
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Mujeres,227,218,9,984
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Mujeres,0,0,0,101
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Mujeres,25,24,1,155
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Mujeres,47,43,4,93
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Mujeres,33,32,1,82
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Mujeres,30,29,1,80
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Mujeres,32,30,2,84
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Mujeres,15,15,0,85
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Mujeres,18,18,0,78
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Mujeres,4,4,0,48
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Mujeres,7,7,0,39
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Mujeres,4,4,0,35
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Mujeres,7,7,0,31
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Mujeres,3,3,0,30
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Mujeres,1,1,0,17
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Mujeres,1,1,0,16
30 Veracruz de Ignacio de la Llave,2,002 Acatlán,Mujeres,0,0,0,10
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Total,31655,30429,1226,32547
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Total,211,198,13,4786
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Total,2033,1882,151,6710
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Total,3979,3762,217,3285
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Total,4023,3847,176,2292
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Total,3876,3749,127,2220
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Total,3800,3701,99,2115
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Total,3601,3511,90,1814
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Total,2983,2909,74,1634
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Total,2388,2322,66,1502
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Total,1826,1761,65,1437
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Total,1142,1081,61,1211
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Total,784,751,33,1026
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Total,521,493,28,942
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Total,289,272,17,701
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Total,118,113,5,425
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Total,81,77,4,447
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Hombres,22443,21431,1012,7801
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Hombres,171,161,10,2377
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Hombres,1532,1411,121,2803
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Hombres,2740,2585,155,680
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Hombres,2699,2561,138,148
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Hombres,2632,2537,95,104
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Hombres,2526,2443,83,82
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Hombres,2489,2403,86,66
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Hombres,2067,2003,64,78
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Hombres,1744,1683,61,107
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Hombres,1398,1340,58,170
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Hombres,915,858,57,217
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Hombres,645,614,31,212
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Hombres,455,428,27,248
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Hombres,252,235,17,212
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Hombres,104,99,5,136
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Hombres,74,70,4,161
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Mujeres,9212,8998,214,24746
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Mujeres,40,37,3,2409
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Mujeres,501,471,30,3907
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Mujeres,1239,1177,62,2605
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Mujeres,1324,1286,38,2144
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Mujeres,1244,1212,32,2116
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Mujeres,1274,1258,16,2033
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Mujeres,1112,1108,4,1748
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Mujeres,916,906,10,1556
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Mujeres,644,639,5,1395
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Mujeres,428,421,7,1267
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Mujeres,227,223,4,994
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Mujeres,139,137,2,814
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Mujeres,66,65,1,694
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Mujeres,37,37,0,489
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Mujeres,14,14,0,289
30 Veracruz de Ignacio de la Llave,3,003 Acayucan,Mujeres,7,7,0,286
30 Veracruz de Ignacio de la Llave,4,004 Actopan,Total,14997,14617,380,18083
30 Veracruz de Ignacio de la Llave,4,004 Actopan,Total,116,109,7,2053
30 Veracruz de Ignacio de la Llave,4,004 Actopan,Total,1112,1069,43,2630
30 Veracruz de Ignacio de la Llave,4,004 Actopan,Total,1564,1506,58,1356
30 Veracruz de Ignacio de la Llave,4,004 Actopan,Total,1368,1332,36,1115
30 Veracruz de Ignacio de la Llave,4,004 Actopan,Total,1494,1455,39,1305
30 Veracruz de Ignacio de la Llave,4,004 Actopan,Total,1762,1727,35,1352
30 Veracruz de Ignacio de la Llave,4,004 Actopan,Total,1793,1756,37,1249
30 Veracruz de Ignacio de la Llave,4,004 Actopan,Total,1502,1467,35,1218
30 Veracruz de Ignacio de la Llave,4,004 Actopan,Total,1303,1266,37,1032
30 Veracruz de Ignacio de la Llave,4,004 Actopan,Total,1054,1028,26,910
30 Veracruz de Ignacio de la Llave,4,004 Actopan,Total,766,755,11,910
30 Veracruz de Ignacio de la Llave,4,004 Actopan,Total,495,486,9,834
30 Veracruz de Ignacio de la Llave,4,004 Actopan,Total,386,383,3,793
30 Veracruz de Ignacio de la Llave,4,004 Actopan,Total,164,162,2,554
30 Veracruz de Ignacio de la Llave,4,004 Actopan,Total,68,67,1,370
30 Veracruz de Ignacio de la Llave,4,004 Actopan,Total,50,49,1,402
30 Veracruz de Ignacio de la Llave,4,004 Actopan,Hombres,12157,11823,334,3950
30 Veracruz de Ignacio de la Llave,4,004 Actopan,Hombres,95,89,6,1001
30 Veracruz de Ignacio de la Llave,4,004 Actopan,Hombres,889,848,41,1028
30 Veracruz de Ignacio de la Llave,4,004 Actopan,Hombres,1158,1114,44,243
30 Veracruz de Ignacio de la Llave,4,004 Actopan,Hombres,1024,997,27,93
30 Veracruz de Ignacio de la Llave,4,004 Actopan,Hombres,1172,1139,33,70
