nombre_entidad,CVE_ENT,nombre_municipio,CVE_MUN,sexo,grupo_edad,poblacion_total,total_limitacion,caminar_moverse,ver,escuchar,hablar,atender_cuidadop,poner_atencion,mental,sin_limitacion,no_especifica
09 Distrito Federal,09,010 Álvaro Obregón,010,Total,Total,727034,28232,15266,7805,3237,2102,1527,1286,3062,681351,17451
09 Distrito Federal,09,010 Álvaro Obregón,010,Total,00-04 años,51881,376,151,30,32,110,32,36,101,50439,1066
09 Distrito Federal,09,010 Álvaro Obregón,010,Total,05-09 años,56149,917,220,187,57,274,61,155,212,54526,706
09 Distrito Federal,09,010 Álvaro Obregón,010,Total,10-14 años,55625,1004,216,295,101,174,48,156,235,53970,651
09 Distrito Federal,09,010 Álvaro Obregón,010,Total,15-19 años,60627,990,219,319,91,147,37,112,249,58968,669
09 Distrito Federal,09,010 Álvaro Obregón,010,Total,20-24 años,63630,968,247,324,81,104,38,76,242,61999,663
09 Distrito Federal,09,010 Álvaro Obregón,010,Total,25-29 años,60418,974,305,303,69,112,38,70,260,58714,730
09 Distrito Federal,09,010 Álvaro Obregón,010,Total,30-34 años,57582,1050,363,326,76,105,33,57,235,55877,655
09 Distrito Federal,09,010 Álvaro Obregón,010,Total,35-39 años,61055,1323,510,370,84,117,48,64,293,59050,682
09 Distrito Federal,09,010 Álvaro Obregón,010,Total,40-44 años,53049,1452,645,392,115,114,64,69,282,51017,580
09 Distrito Federal,09,010 Álvaro Obregón,010,Total,45-49 años,46102,1649,800,534,136,97,54,46,174,43941,512
09 Distrito Federal,09,010 Álvaro Obregón,010,Total,50-54 años,41021,1979,993,677,183,86,64,44,159,38626,416
09 Distrito Federal,09,010 Álvaro Obregón,010,Total,55-59 años,31681,2123,1247,658,182,83,73,45,119,29260,298
09 Distrito Federal,09,010 Álvaro Obregón,010,Total,60-64 años,25336,2420,1521,697,238,83,96,34,94,22689,227
09 Distrito Federal,09,010 Álvaro Obregón,010,Total,65-69 años,17833,2263,1495,608,257,90,96,38,77,15376,194
09 Distrito Federal,09,010 Álvaro Obregón,010,Total,70-74 años,14167,2483,1771,609,308,92,107,36,69,11523,161
09 Distrito Federal,09,010 Álvaro Obregón,010,Total,75-79 años,9691,2161,1553,489,334,97,143,62,72,7416,114
09 Distrito Federal,09,010 Álvaro Obregón,010,Total,80-84 años,6577,1917,1369,448,369,88,153,63,79,4588,72
09 Distrito Federal,09,010 Álvaro Obregón,010,Total,85 años y más,5404,2170,1633,537,522,128,340,122,107,3131,103
09 Distrito Federal,09,010 Álvaro Obregón,010,Total,No especificado,9206,13,8,2,2,1,2,1,3,241,8952
09 Distrito Federal,09,010 Álvaro Obregón,010,Hombres,Total,346041,12954,6249,3610,1573,1147,618,667,1662,324596,8491
09 Distrito Federal,09,010 Álvaro Obregón,010,Hombres,00-04 años,26336,219,81,17,20,74,19,23,56,25565,552
09 Distrito Federal,09,010 Álvaro Obregón,010,Hombres,05-09 años,28467,545,118,101,36,178,40,112,128,27550,372
09 Distrito Federal,09,010 Álvaro Obregón,010,Hombres,10-14 años,28178,547,110,156,49,95,24,91,133,27323,308
09 Distrito Federal,09,010 Álvaro Obregón,010,Hombres,15-19 años,29926,546,116,156,56,84,19,62,158,29071,309
09 Distrito Federal,09,010 Álvaro Obregón,010,Hombres,20-24 años,30716,511,127,147,48,56,18,40,145,29889,316
09 Distrito Federal,09,010 Álvaro Obregón,010,Hombres,25-29 años,29028,547,172,152,44,64,20,36,148,28157,324
09 Distrito Federal,09,010 Álvaro Obregón,010,Hombres,30-34 años,27093,615,213,192,45,58,11,29,136,26181,297
09 Distrito Federal,09,010 Álvaro Obregón,010,Hombres,35-39 años,28627,737,271,205,40,69,25,39,175,27546,344
09 Distrito Federal,09,010 Álvaro Obregón,010,Hombres,40-44 años,24877,771,337,213,59,61,31,31,154,23825,281
09 Distrito Federal,09,010 Álvaro Obregón,010,Hombres,45-49 años,21248,811,372,272,71,54,25,30,86,20214,223
09 Distrito Federal,09,010 Álvaro Obregón,010,Hombres,50-54 años,18677,909,421,318,92,45,32,19,81,17571,197
09 Distrito Federal,09,010 Álvaro Obregón,010,Hombres,55-59 años,14701,961,532,314,94,43,34,21,62,13610,130
09 Distrito Federal,09,010 Álvaro Obregón,010,Hombres,60-64 años,11395,1079,635,319,129,49,48,13,47,10221,95
09 Distrito Federal,09,010 Álvaro Obregón,010,Hombres,65-69 años,7807,968,594,266,139,48,42,17,46,6742,97
09 Distrito Federal,09,010 Álvaro Obregón,010,Hombres,70-74 años,6051,1009,677,256,131,47,47,15,30,4969,73
09 Distrito Federal,09,010 Álvaro Obregón,010,Hombres,75-79 años,3950,841,559,197,157,37,54,23,25,3061,48
09 Distrito Federal,09,010 Álvaro Obregón,010,Hombres,80-84 años,2511,684,467,162,170,41,54,23,26,1802,25
09 Distrito Federal,09,010 Álvaro Obregón,010,Hombres,85 años y más,1865,650,446,166,191,43,74,42,24,1186,29
09 Distrito Federal,09,010 Álvaro Obregón,010,Hombres,No especificado,4588,4,1,1,2,1,1,1,2,113,4471
09 Distrito Federal,09,010 Álvaro Obregón,010,Mujeres,Total,380993,15278,9017,4195,1664,955,909,619,1400,356755,8960
09 Distrito Federal,09,010 Álvaro Obregón,010,Mujeres,00-04 años,25545,157,70,13,12,36,13,13,45,24874,514
09 Distrito Federal,09,010 Álvaro Obregón,010,Mujeres,05-09 años,27682,372,102,86,21,96,21,43,84,26976,334
09 Distrito Federal,09,010 Álvaro Obregón,010,Mujeres,10-14 años,27447,457,106,139,52,79,24,65,102,26647,343
09 Distrito Federal,09,010 Álvaro Obregón,010,Mujeres,15-19 años,30701,444,103,163,35,63,18,50,91,29897,360
09 Distrito Federal,09,010 Álvaro Obregón,010,Mujeres,20-24 años,32914,457,120,177,33,48,20,36,97,32110,347
09 Distrito Federal,09,010 Álvaro Obregón,010,Mujeres,25-29 años,31390,427,133,151,25,48,18,34,112,30557,406
09 Distrito Federal,09,010 Álvaro Obregón,010,Mujeres,30-34 años,30489,435,150,134,31,47,22,28,99,29696,358
09 Distrito Federal,09,010 Álvaro Obregón,010,Mujeres,35-39 años,32428,586,239,165,44,48,23,25,118,31504,338
09 Distrito Federal,09,010 Álvaro Obregón,010,Mujeres,40-44 años,28172,681,308,179,56,53,33,38,128,27192,299
09 Distrito Federal,09,010 Álvaro Obregón,010,Mujeres,45-49 años,24854,838,428,262,65,43,29,16,88,23727,289
