entidad_federativa,CVE_MUN,municipio,sexo,grupos_edad,poblacion,lengua_indigena,nolengua_indigena
30 Veracruz de Ignacio de la Llave,001,001 Acajete,Total,03-04 años,315,0,315
30 Veracruz de Ignacio de la Llave,001,001 Acajete,Total,05-09 años,908,1,906
30 Veracruz de Ignacio de la Llave,001,001 Acajete,Total,10-14 años,946,1,941
30 Veracruz de Ignacio de la Llave,001,001 Acajete,Total,15-19 años,918,0,917
30 Veracruz de Ignacio de la Llave,001,001 Acajete,Total,20-24 años,718,2,715
30 Veracruz de Ignacio de la Llave,001,001 Acajete,Total,25-29 años,584,0,583
30 Veracruz de Ignacio de la Llave,001,001 Acajete,Total,30-34 años,612,2,610
30 Veracruz de Ignacio de la Llave,001,001 Acajete,Total,35-39 años,604,1,602
30 Veracruz de Ignacio de la Llave,001,001 Acajete,Total,40-44 años,479,1,478
30 Veracruz de Ignacio de la Llave,001,001 Acajete,Total,45-49 años,352,0,352
30 Veracruz de Ignacio de la Llave,001,001 Acajete,Total,50-54 años,271,1,269
30 Veracruz de Ignacio de la Llave,001,001 Acajete,Total,55-59 años,260,0,259
30 Veracruz de Ignacio de la Llave,001,001 Acajete,Total,60-64 años,211,0,210
30 Veracruz de Ignacio de la Llave,001,001 Acajete,Total,65 años y más,501,1,499
30 Veracruz de Ignacio de la Llave,001,001 Acajete,Hombres,03-04 años,174,0,174
30 Veracruz de Ignacio de la Llave,001,001 Acajete,Hombres,05-09 años,503,0,502
30 Veracruz de Ignacio de la Llave,001,001 Acajete,Hombres,10-14 años,502,1,499
30 Veracruz de Ignacio de la Llave,001,001 Acajete,Hombres,15-19 años,455,0,454
30 Veracruz de Ignacio de la Llave,001,001 Acajete,Hombres,20-24 años,381,0,380
30 Veracruz de Ignacio de la Llave,001,001 Acajete,Hombres,25-29 años,282,0,282
30 Veracruz de Ignacio de la Llave,001,001 Acajete,Hombres,30-34 años,288,1,287
30 Veracruz de Ignacio de la Llave,001,001 Acajete,Hombres,35-39 años,318,1,317
30 Veracruz de Ignacio de la Llave,001,001 Acajete,Hombres,40-44 años,238,0,238
30 Veracruz de Ignacio de la Llave,001,001 Acajete,Hombres,45-49 años,177,0,177
30 Veracruz de Ignacio de la Llave,001,001 Acajete,Hombres,50-54 años,142,0,141
30 Veracruz de Ignacio de la Llave,001,001 Acajete,Hombres,55-59 años,125,0,124
30 Veracruz de Ignacio de la Llave,001,001 Acajete,Hombres,60-64 años,94,0,94
30 Veracruz de Ignacio de la Llave,001,001 Acajete,Hombres,65 años y más,254,1,253
30 Veracruz de Ignacio de la Llave,001,001 Acajete,Mujeres,03-04 años,141,0,141
30 Veracruz de Ignacio de la Llave,001,001 Acajete,Mujeres,05-09 años,405,1,404
30 Veracruz de Ignacio de la Llave,001,001 Acajete,Mujeres,10-14 años,444,0,442
30 Veracruz de Ignacio de la Llave,001,001 Acajete,Mujeres,15-19 años,463,0,463
30 Veracruz de Ignacio de la Llave,001,001 Acajete,Mujeres,20-24 años,337,2,335
30 Veracruz de Ignacio de la Llave,001,001 Acajete,Mujeres,25-29 años,302,0,301
30 Veracruz de Ignacio de la Llave,001,001 Acajete,Mujeres,30-34 años,324,1,323
30 Veracruz de Ignacio de la Llave,001,001 Acajete,Mujeres,35-39 años,286,0,285
30 Veracruz de Ignacio de la Llave,001,001 Acajete,Mujeres,40-44 años,241,1,240
30 Veracruz de Ignacio de la Llave,001,001 Acajete,Mujeres,45-49 años,175,0,175
30 Veracruz de Ignacio de la Llave,001,001 Acajete,Mujeres,50-54 años,129,1,128
30 Veracruz de Ignacio de la Llave,001,001 Acajete,Mujeres,55-59 años,135,0,135
30 Veracruz de Ignacio de la Llave,001,001 Acajete,Mujeres,60-64 años,117,0,116
30 Veracruz de Ignacio de la Llave,001,001 Acajete,Mujeres,65 años y más,247,0,246
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Total,03-04 años,119,0,119
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Total,05-09 años,305,0,305
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Total,10-14 años,354,0,353
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Total,15-19 años,360,0,360
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Total,20-24 años,280,0,280
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Total,25-29 años,203,0,202
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Total,30-34 años,194,0,194
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Total,35-39 años,206,0,206
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Total,40-44 años,190,0,190
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Total,45-49 años,181,0,181
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Total,50-54 años,119,0,119
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Total,55-59 años,95,0,95
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Total,60-64 años,72,1,70
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Total,65 años y más,233,4,229
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Hombres,03-04 años,60,0,60
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Hombres,05-09 años,153,0,153
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Hombres,10-14 años,185,0,184
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Hombres,15-19 años,180,0,180
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Hombres,20-24 años,140,0,140
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Hombres,25-29 años,88,0,88
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Hombres,30-34 años,83,0,83
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Hombres,35-39 años,90,0,90
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Hombres,40-44 años,90,0,90
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Hombres,45-49 años,85,0,85
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Hombres,50-54 años,67,0,67
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Hombres,55-59 años,49,0,49
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Hombres,60-64 años,33,1,32
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Hombres,65 años y más,113,2,111
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Mujeres,03-04 años,59,0,59
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Mujeres,05-09 años,152,0,152
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Mujeres,10-14 años,169,0,169
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Mujeres,15-19 años,180,0,180
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Mujeres,20-24 años,140,0,140
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Mujeres,25-29 años,115,0,114
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Mujeres,30-34 años,111,0,111
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Mujeres,35-39 años,116,0,116
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Mujeres,40-44 años,100,0,100
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Mujeres,45-49 años,96,0,96
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Mujeres,50-54 años,52,0,52
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Mujeres,55-59 años,46,0,46
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Mujeres,60-64 años,39,0,38
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Mujeres,65 años y más,120,2,118
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Total,03-04 años,3060,51,2955
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Total,05-09 años,7911,216,7664
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Total,10-14 años,8217,312,7879
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Total,15-19 años,8768,361,8389
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Total,20-24 años,7287,291,6982
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Total,25-29 años,6333,307,6019
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Total,30-34 años,6115,304,5802
